epoch,filter_index,l2,delta_l2
1,0,0.708930,
1,1,0.737528,
1,2,0.721680,
1,3,0.677698,
1,4,0.620152,
1,5,0.652879,
1,6,0.665536,
1,7,0.710322,
1,8,0.702796,
1,9,0.644469,
1,10,0.769628,
1,11,0.702052,
1,12,0.709369,
1,13,0.697573,
1,14,0.653569,
1,15,0.720167,
1,16,0.704495,
1,17,0.652519,
1,18,0.746652,
1,19,0.663614,
1,20,0.640675,
1,21,0.657822,
1,22,0.731009,
1,23,0.690585,
1,24,0.681777,
1,25,0.747331,
1,26,0.689919,
1,27,0.598557,
1,28,0.672425,
1,29,0.660982,
1,30,0.751202,
1,31,0.733924,
1,32,0.691839,
1,33,0.681460,
1,34,0.650128,
1,35,0.731355,
1,36,0.676657,
1,37,0.721191,
1,38,0.724414,
1,39,0.794357,
1,40,0.655857,
1,41,0.694334,
1,42,0.632249,
1,43,0.680243,
1,44,0.686831,
1,45,0.668739,
1,46,0.695798,
1,47,0.685213,
1,48,0.659411,
1,49,0.751696,
1,50,0.749753,
1,51,0.723621,
1,52,0.705627,
1,53,0.697203,
1,54,0.729933,
1,55,0.658982,
1,56,0.704776,
1,57,0.678103,
1,58,0.708389,
1,59,0.697328,
1,60,0.753448,
1,61,0.732051,
1,62,0.636351,
1,63,0.661021,
2,0,0.707564,0.010508
2,1,0.737182,0.010748
2,2,0.723304,0.011909
2,3,0.675966,0.012508
2,4,0.617797,0.012633
2,5,0.653307,0.012414
2,6,0.663543,0.011697
2,7,0.711924,0.012862
2,8,0.702284,0.011805
2,9,0.643174,0.008673
2,10,0.769543,0.008662
2,11,0.701489,0.010853
2,12,0.708305,0.010846
2,13,0.696000,0.009334
2,14,0.655186,0.010941
2,15,0.719481,0.008694
2,16,0.706420,0.012468
2,17,0.653672,0.009721
2,18,0.744661,0.010506
2,19,0.662960,0.012562
2,20,0.639450,0.012237
2,21,0.656776,0.011054
2,22,0.730998,0.009536
2,23,0.688074,0.012157
2,24,0.681978,0.010811
2,25,0.746057,0.009740
2,26,0.690065,0.011993
2,27,0.599455,0.011685
2,28,0.673167,0.011552
2,29,0.664299,0.013567
2,30,0.750137,0.010332
2,31,0.738366,0.013310
2,32,0.692605,0.011053
2,33,0.681711,0.010262
2,34,0.649478,0.011032
2,35,0.729210,0.010628
2,36,0.677940,0.013265
2,37,0.721292,0.013172
2,38,0.726135,0.012164
2,39,0.792728,0.011241
2,40,0.653336,0.010235
2,41,0.693945,0.012384
2,42,0.633171,0.008603
2,43,0.681512,0.009826
2,44,0.686921,0.012560
2,45,0.669495,0.010596
2,46,0.699100,0.011848
2,47,0.682111,0.009550
2,48,0.657155,0.012892
2,49,0.751632,0.010495
2,50,0.752699,0.012135
2,51,0.721791,0.008592
2,52,0.707555,0.010951
2,53,0.696330,0.009850
2,54,0.730609,0.010884
2,55,0.660798,0.013261
2,56,0.703076,0.010030
2,57,0.677356,0.007833
2,58,0.708658,0.013832
2,59,0.697056,0.011174
2,60,0.755824,0.012891
2,61,0.733395,0.013943
2,62,0.636253,0.011581
2,63,0.662639,0.009706
3,0,0.706601,0.009127
3,1,0.737395,0.010147
3,2,0.724328,0.011602
3,3,0.674458,0.010711
3,4,0.616154,0.011398
3,5,0.654431,0.011573
3,6,0.662767,0.009421
3,7,0.713872,0.012364
3,8,0.702086,0.011617
3,9,0.642585,0.007270
3,10,0.771172,0.008186
3,11,0.701109,0.009300
3,12,0.707751,0.009575
3,13,0.695808,0.007706
3,14,0.656186,0.007993
3,15,0.720286,0.008170
3,16,0.708362,0.012061
3,17,0.654708,0.009442
3,18,0.743860,0.010573
3,19,0.661977,0.010670
3,20,0.638612,0.011883
3,21,0.656001,0.010162
3,22,0.731857,0.009071
3,23,0.686346,0.009796
3,24,0.682752,0.009651
3,25,0.746047,0.009636
3,26,0.690186,0.010392
3,27,0.600900,0.012249
3,28,0.673813,0.011626
3,29,0.667446,0.012432
3,30,0.749226,0.008081
3,31,0.743151,0.012956
3,32,0.693369,0.010164
3,33,0.682092,0.010058
3,34,0.648980,0.010638
3,35,0.727767,0.009001
3,36,0.679385,0.012699
3,37,0.721903,0.011949
3,38,0.728116,0.011790
3,39,0.791854,0.011182
3,40,0.651762,0.008634
3,41,0.694176,0.012020
3,42,0.633860,0.006847
3,43,0.684246,0.011052
3,44,0.687519,0.012447
3,45,0.670708,0.010615
3,46,0.702519,0.011638
3,47,0.679756,0.007602
3,48,0.656087,0.011132
3,49,0.752893,0.009056
3,50,0.755188,0.010213
3,51,0.721646,0.009368
3,52,0.709725,0.010686
3,53,0.695430,0.008585
3,54,0.730936,0.007167
3,55,0.662617,0.012889
3,56,0.701885,0.007540
3,57,0.677418,0.006449
3,58,0.709346,0.012831
3,59,0.697239,0.011034
3,60,0.758026,0.012258
3,61,0.735021,0.013231
3,62,0.636276,0.011106
3,63,0.664571,0.009562
4,0,0.706226,0.009414
4,1,0.737263,0.010410
4,2,0.724989,0.011710
4,3,0.673429,0.008703
4,4,0.615009,0.009953
4,5,0.655633,0.010852
4,6,0.662679,0.007594
4,7,0.716252,0.011916
4,8,0.702026,0.011483
4,9,0.641897,0.007536
4,10,0.773842,0.008827
4,11,0.701026,0.008043
4,12,0.707564,0.009288
4,13,0.696688,0.008048
4,14,0.656886,0.005756
4,15,0.721779,0.008321
4,16,0.710501,0.011821
4,17,0.655281,0.009483
4,18,0.743365,0.010924
4,19,0.661478,0.008893
4,20,0.638196,0.011739
4,21,0.655096,0.009135
4,22,0.732746,0.009343
4,23,0.685564,0.008536
4,24,0.683526,0.009054
4,25,0.746218,0.010090
4,26,0.690520,0.008765
4,27,0.602420,0.012234
4,28,0.674366,0.011386
4,29,0.670295,0.011887
4,30,0.748649,0.006417
4,31,0.747686,0.012225
4,32,0.694245,0.010057
4,33,0.682643,0.009859
4,34,0.648967,0.010328
4,35,0.727081,0.007989
4,36,0.680837,0.012269
4,37,0.722782,0.011022
4,38,0.729796,0.010919
4,39,0.791546,0.011114
4,40,0.650666,0.007515
4,41,0.694660,0.011732
