epoch,filter_index,l2,delta_l2
2,107,0.775774,0.016737
2,108,0.842779,0.025605
2,109,0.826664,0.025237
2,110,0.799805,0.025043
2,111,0.855269,0.027324
2,112,0.816450,0.024054
2,113,0.830322,0.025798
2,114,0.776096,0.027147
2,115,0.804717,0.025767
2,116,0.822917,0.025277
2,117,0.810439,0.026896
2,118,0.776594,0.025731
2,119,0.794761,0.023682
2,120,0.824651,0.027239
2,121,0.794762,0.026792
2,122,0.820820,0.026298
2,123,0.797677,0.024056
2,124,0.817038,0.025564
2,125,0.800168,0.024715
2,126,0.815783,0.019111
2,127,0.867431,0.023451
3,0,0.820940,0.026992
3,1,0.853611,0.026087
3,2,0.865323,0.021634
3,3,0.779562,0.025847
3,4,0.817369,0.018264
3,5,0.798266,0.022645
3,6,0.778611,0.023393
3,7,0.825432,0.026952
3,8,0.871557,0.024602
3,9,0.795568,0.020939
3,10,0.796247,0.026401
3,11,0.860027,0.020396
3,12,0.816583,0.015371
3,13,0.859002,0.021214
3,14,0.755103,0.024685
3,15,0.841842,0.020771
3,16,0.834876,0.025332
3,17,0.781336,0.024671
3,18,0.830727,0.026344
3,19,0.828716,0.024469
3,20,0.817121,0.017612
3,21,0.831619,0.023193
3,22,0.824777,0.024400
3,23,0.776837,0.020022
3,24,0.783422,0.026914
3,25,0.809562,0.017037
3,26,0.830957,0.022041
3,27,0.808622,0.025976
3,28,0.823912,0.021891
3,29,0.805991,0.019250
3,30,0.802653,0.026254
3,31,0.849542,0.025394
3,32,0.839824,0.026287
3,33,0.810176,0.025988
3,34,0.824452,0.022497
3,35,0.800135,0.015123
3,36,0.778718,0.020061
3,37,0.737080,0.026580
3,38,0.782402,0.015709
3,39,0.823230,0.020450
3,40,0.817765,0.022186
3,41,0.805418,0.025348
3,42,0.838351,0.023000
3,43,0.799342,0.021057
3,44,0.844980,0.023824
3,45,0.800227,0.026227
3,46,0.816272,0.020385
3,47,0.813951,0.026226
3,48,0.807703,0.017693
3,49,0.817811,0.022682
3,50,0.829449,0.023087
3,51,0.839109,0.026056
3,52,0.773990,0.019228
3,53,0.752917,0.024178
3,54,0.823793,0.024561
3,55,0.784185,0.026305
3,56,0.804733,0.020463
3,57,0.817271,0.017072
3,58,0.766716,0.020046
3,59,0.793717,0.026300
3,60,0.840185,0.023659
3,61,0.787180,0.026507
3,62,0.850522,0.020907
3,63,0.833272,0.014967
3,64,0.840042,0.017310
3,65,0.864707,0.026587
3,66,0.840130,0.026436
3,67,0.856462,0.026250
3,68,0.820354,0.019756
3,69,0.815282,0.020847
3,70,0.846202,0.022409
3,71,0.832719,0.026166
3,72,0.837203,0.017366
3,73,0.782784,0.026354
3,74,0.834119,0.022614
3,75,0.813174,0.018896
3,76,0.846268,0.022263
3,77,0.814999,0.024306
3,78,0.833778,0.022685
3,79,0.779655,0.022849
3,80,0.816938,0.022129
3,81,0.778257,0.015028
3,82,0.796115,0.023489
3,83,0.834363,0.021861
3,84,0.820656,0.021954
3,85,0.778113,0.023100
3,86,0.833890,0.026475
3,87,0.792071,0.026275
3,88,0.835513,0.023638
3,89,0.830217,0.016794
3,90,0.837937,0.017378
3,91,0.817878,0.016140
3,92,0.801353,0.015905
3,93,0.811607,0.026553
3,94,0.870881,0.020137
3,95,0.812834,0.027277
3,96,0.856802,0.026106
3,97,0.849444,0.019282
3,98,0.838342,0.022052
3,99,0.803476,0.021580
3,100,0.796493,0.024422
3,101,0.839897,0.026872
3,102,0.774187,0.026960
3,103,0.854154,0.026124
3,104,0.833894,0.018704
3,105,0.790477,0.023218
3,106,0.799087,0.024039
3,107,0.777638,0.017112
3,108,0.843908,0.022940
3,109,0.827692,0.021533
3,110,0.801501,0.024615
3,111,0.861580,0.026175
3,112,0.819043,0.021026
3,113,0.831960,0.023375
3,114,0.776967,0.027076
3,115,0.805249,0.023095
3,116,0.824132,0.022623
3,117,0.812338,0.026251
3,118,0.776923,0.023105
3,119,0.797395,0.020655
3,120,0.830151,0.026009
3,121,0.800004,0.026009
3,122,0.820648,0.026130
3,123,0.801152,0.020867
3,124,0.821271,0.021598
3,125,0.802277,0.021301
3,126,0.816540,0.017958
3,127,0.869504,0.020016
4,0,0.822420,0.026156
4,1,0.855998,0.025546
4,2,0.868229,0.018155
4,3,0.782609,0.025117
4,4,0.817953,0.018810
4,5,0.801147,0.021947
4,6,0.779422,0.020506
4,7,0.828009,0.026091
4,8,0.873690,0.023747
4,9,0.798191,0.017631
4,10,0.796828,0.025757
4,11,0.860461,0.019564
4,12,0.817764,0.014404
4,13,0.860409,0.018083
4,14,0.756322,0.023714
4,15,0.844046,0.016796
4,16,0.837830,0.023551
4,17,0.779722,0.022219
4,18,0.833343,0.025412
4,19,0.833529,0.023217
4,20,0.818847,0.015369
4,21,0.833121,0.020450
4,22,0.827415,0.022554
4,23,0.777031,0.017869
4,24,0.786683,0.026594
4,25,0.811296,0.012196
4,26,0.831236,0.021649
4,27,0.810627,0.025031
4,28,0.826898,0.018686
4,29,0.807838,0.017044
4,30,0.805345,0.025155
4,31,0.852092,0.024085
4,32,0.844203,0.025004
4,33,0.814381,0.024619
4,34,0.825273,0.019769
4,35,0.800334,0.013786
4,36,0.779063,0.017871
4,37,0.738654,0.026027
4,38,0.783146,0.016561
4,39,0.823692,0.017711
4,40,0.819750,0.019292
4,41,0.809839,0.024042
4,42,0.840816,0.020009
4,43,0.802010,0.017950
4,44,0.846046,0.020950
4,45,0.803929,0.025017
4,46,0.818261,0.017619
4,47,0.812995,0.025617
4,48,0.808523,0.015420
4,49,0.819244,0.019674
4,50,0.829809,0.020386
4,51,0.841733,0.025012
4,52,0.776335,0.015342
4,53,0.751000,0.021628
4,54,0.824518,0.023864
4,55,0.788911,0.025203
4,56,0.806923,0.020732
4,57,0.818626,0.013112
4,58,0.767119,0.020431
4,59,0.794780,0.025679
