epoch,filter_index,l2,delta_l2
67,1,1.830536,0.004144
67,2,1.664834,0.005618
68,0,1.686967,0.008710
68,1,1.832880,0.003880
68,2,1.668115,0.006460
69,0,1.691695,0.009441
69,1,1.835220,0.003874
69,2,1.671362,0.006865
70,0,1.697062,0.009936
70,1,1.838098,0.004668
70,2,1.674428,0.005092
71,0,1.702617,0.009399
71,1,1.841219,0.005497
71,2,1.677374,0.005073
72,0,1.708078,0.009101
72,1,1.844409,0.005414
72,2,1.680534,0.005458
73,0,1.712838,0.008923
73,1,1.847523,0.004870
73,2,1.683890,0.006100
74,0,1.716974,0.009268
74,1,1.850385,0.004457
74,2,1.687134,0.006362
75,0,1.721627,0.008290
75,1,1.853639,0.005336
75,2,1.690324,0.006479
76,0,1.726676,0.008523
76,1,1.856941,0.005595
76,2,1.693474,0.005681
77,0,1.731911,0.008957
77,1,1.860339,0.005846
77,2,1.696716,0.005725
78,0,1.737224,0.009314
78,1,1.863339,0.004620
78,2,1.700057,0.005403
79,0,1.742917,0.009845
79,1,1.866389,0.004731
79,2,1.703507,0.005647
80,0,1.748592,0.009651
80,1,1.869411,0.004905
80,2,1.707018,0.005951
81,0,1.753879,0.009020
81,1,1.871939,0.003998
81,2,1.710611,0.005854
82,0,1.759253,0.008676
82,1,1.874316,0.003857
82,2,1.714329,0.005886
83,0,1.764763,0.008812
83,1,1.877167,0.004611
83,2,1.718114,0.005979
84,0,1.770131,0.008783
84,1,1.880208,0.005503
84,2,1.721719,0.006059
85,0,1.775173,0.008238
85,1,1.883042,0.004697
85,2,1.725289,0.005653
86,0,1.780180,0.007812
86,1,1.885788,0.004530
86,2,1.728977,0.005836
87,0,1.785470,0.008280
87,1,1.888855,0.005307
87,2,1.732661,0.006850
88,0,1.790840,0.009392
88,1,1.892109,0.005843
88,2,1.736198,0.008539
89,0,1.796624,0.009131
89,1,1.895514,0.006031
89,2,1.739735,0.007796
90,0,1.802675,0.008916
90,1,1.898573,0.004892
90,2,1.743260,0.005933
91,0,1.808812,0.009092
91,1,1.901070,0.003923
91,2,1.746605,0.005145
92,0,1.814696,0.008870
92,1,1.903088,0.003821
92,2,1.749892,0.005212
93,0,1.820378,0.008624
93,1,1.904720,0.003761
93,2,1.753067,0.005663
94,0,1.825556,0.008025
94,1,1.906378,0.003430
94,2,1.756110,0.004924
95,0,1.830411,0.008071
95,1,1.908522,0.004251
95,2,1.758995,0.004586
96,0,1.834960,0.007504
96,1,1.911042,0.005757
96,2,1.761976,0.005858
97,0,1.838828,0.007035
97,1,1.913069,0.003857
97,2,1.765210,0.005797
98,0,1.842503,0.007309
98,1,1.915013,0.003568
98,2,1.768727,0.005654
99,0,1.846360,0.006982
99,1,1.917404,0.004164
99,2,1.772334,0.005940
100,0,1.850823,0.007654
100,1,1.920336,0.005230
100,2,1.776054,0.006161
